movie_title;actor_1;actor_2;actor_3;actor_4;actor_5;actor_6;actor_7;actor_8;actor_9;actor_10
Bedazzled;Elizabeth Hurley;Brendan Fraser;Frances O'Connor;Orlando Jones;Paul Adelstein;Toby Huss;Gabriel Casseus;Miriam Shor;Brian Doyle-Murray;Jeff Doucette
The Cotton Club;Richard Gere;Gregory Hines;Diane Lane;Lonette McKee;Bob Hoskins;James Remar;Nicolas Cage;Allen Garfield;Fred Gwynne;Gwen Verdon
3:10 to Yuma;Russell Crowe;Christian Bale;Logan Lerman;Dallas Roberts;Peter Fonda;Gretchen Mol;Ben Foster;Alan Tudyk;Vinessa Shaw;Lennie Loftin
Taken 3;Liam Neeson;Forest Whitaker;Maggie Grace;Famke Janssen;Dougray Scott;Sam Spruell;Don Harvey;Dylan Bruno;Leland Orser;David Warshofsky
Out of Sight;George Clooney;Jennifer Lopez;Ving Rhames;Don Cheadle;Albert Brooks;Steve Zahn;Isaiah Washington;Dennis Farina;Keith Loneker;Catherine Keener
The Cable Guy;Jim Carrey;Matthew Broderick;Leslie Mann;Jack Black;George Segal;Diane Baker;Ben Stiller;Eric Roberts;Janeane Garofalo;Andy Dick
Dick Tracy;Warren Beatty;Al Pacino;Madonna;Charlie Korsmo;Glenne Headly;Dustin Hoffman;James Caan;William Forsythe;Seymour Cassel;Dick Van Dyke
The Thomas Crown Affair;Pierce Brosnan;Rene Russo;Denis Leary;Ben Gazzara;Frankie Faison;Fritz Weaver;Charles Keating;Mark Margolis;Faye Dunaway;Michael Lombard
Riding in Cars with Boys;Drew Barrymore;Steve Zahn;Adam Garcia;Brittany Murphy;Logan Lerman;Susan Forristal;Lorraine Bracco;James Woods;Marisa Ryan;Maggie Gyllenhaal
Happily N'Ever After;George Carlin;Andy Dick;Sarah Michelle Gellar;Lisa Kaplan;Michael McShane;Rob Paulsen;Freddie Prinze Jr.;Wallace Shawn;Patrick Warburton;Sigourney Weaver
Mary Reilly;Julia Roberts;John Malkovich;George Cole;Michael Gambon;Glenn Close;Kathy Staff;Michael Sheen;Bronagh Gallagher;Linda Bassett;Henry Goodman
My Best Friend's Wedding;Julia Roberts;Dermot Mulroney;Cameron Diaz;Rupert Everett;Philip Bosco;M. Emmet Walsh;Rachel Griffiths;Carrie Preston;Susan Sullivan;Christopher Masterson
America's Sweethearts;Julia Roberts;Billy Crystal;Catherine Zeta-Jones;John Cusack;Hank Azaria;Stanley Tucci;Christopher Walken;Alan Arkin;Seth Green;Rainn Wilson
Insomnia;;;;;;;;;;
Star Trek: First Contact;Patrick Stewart;Jonathan Frakes;Brent Spiner;LeVar Burton;Michael Dorn;Gates McFadden;Marina Sirtis;James Cromwell;Alfre Woodard;Alice Krige
Jonah Hex;Josh Brolin;John Malkovich;Megan Fox;Michael Fassbender;Will Arnett;Michael Shannon;Aidan Quinn;Lance Reddick;David Jensen;John Gallagher Jr.
Courage Under Fire;Denzel Washington;Meg Ryan;Lou Diamond Phillips;Matt Damon;Michael Moriarty;Michole Briana White;Bronson Pinchot;Amy Hathaway;Diane Baker;Seth Gilliam
Liar Liar;Jim Carrey;Maura Tierney;Cary Elwes;Jennifer Tilly;Swoosie Kurtz;Sara Paxton;Anne Haney;Amanda Donohoe;Jason Bernard;Mitchell Ryan
The Flintstones;John Goodman;Elizabeth Perkins;Rick Moranis;Rosie O'Donnell;Kyle MacLachlan;Halle Berry;Elizabeth Taylor;Dann Florek;Richard Moll;Irwin Keyes
Taken 2;Liam Neeson;Maggie Grace;Famke Janssen;Rade Serbedzija;Luke Grimes;Jon Gries;Leland Orser;D. B. Sweeney;Kevork Malikyan;Alain Figlarz
Scary Movie 3;Pamela Anderson;Jenny McCarthy;Marny Eng;Charlie Sheen;Simon Rex;Jianna Ballard;Jeremy Piven;Anna Faris;Regina Hall;Denise Richards
Miss Congeniality;Sandra Bullock;Benjamin Bratt;Michael Caine;Candice Bergen;William Shatner;Ernie Hudson;John DiResta;Heather Burns;Melissa De Sousa;Steve Monroe
Journey to the Center of the Earth;Brendan Fraser;Josh Hutcherson;Anita Briem;Seth Meyers;Jane Wheeler;Frank Fontaine;Giancarlo Caltabiano;Kaniehtiio Horn;Garth Gilker;
The Princess Diaries 2: Royal Engagement;Anne Hathaway;Julie Andrews;John Rhys-Davies;Heather Matarazzo;Chris Pine;Callum Blue;Larry Miller;Kathleen Marshall;Caroline Goodall;Lorraine Nicholson
The Pelican Brief;Julia Roberts;Denzel Washington;Sam Shepard;William Atherton;John Lithgow;Tom Quinn;John Heard;Hume Cronyn;Tony Goldwyn;Robert Culp
The Client;Susan Sarandon;Tommy Lee Jones;Mary-Louise Parker;Anthony LaPaglia;Bradley Whitford;Will Patton;Brad Renfro;Anthony Edwards;J. T. Walsh;Anthony Heald
The Bucket List;Jack Nicholson;Morgan Freeman;Sean Hayes;Beverly Todd;Alfonso Freeman;Rowena King;Rob Morrow;Annton Berry Jr.;Verda Bridges;Destiny Brownridge
Patriot Games;Harrison Ford;Anne Archer;Patrick Bergin;Thora Birch;James Fox;Samuel L. Jackson;Polly Walker;J.E. Freeman;James Earl Jones;Sean Bean
Monster-in-Law;Jennifer Lopez;Jane Fonda;Michael Vartan;Wanda Sykes;Adam Scott;Monet Mazur;Annie Parisse;Will Arnett;Elaine Stritch;Stephen Dunham
Prisoners;Hugh Jackman;Jake Gyllenhaal;Paul Dano;Maria Bello;Melissa Leo;Viola Davis;Terrence Howard;Dylan Minnette;Wayne Duvall;David Dastmalchian
Training Day;Denzel Washington;Ethan Hawke;Scott Glenn;Tom Berenger;Harris Yulin;Cliff Curtis;Snoop Dogg;Dr. Dre;Eva Mendes;Nick Chinlund
Galaxy Quest;Tim Allen;Sigourney Weaver;Alan Rickman;Tony Shalhoub;Sam Rockwell;Daryl Mitchell;Enrico Colantoni;Robin Sachs;Jed Rees;Justin Long
Scary Movie 2;Anna Faris;Marlon Wayans;James DeBello;Shawn Wayans;David Cross;Christopher Masterson;Regina Hall;Tim Curry;Kathleen Robertson;Chris Elliott
The Muppets;Amy Adams;Jason Segel;Emily Blunt;John Krasinski;Zach Galifianakis;Jack Black;Jim Parsons;Mickey Rooney;Neil Patrick Harris;Chris Cooper
Blade;Wesley Snipes;Stephen Dorff;Kris Kristofferson;N'Bushe Wright;Donal Logue;Udo Kier;Arly Jover;Traci Lords;Kevin Patrick Walls;Tim Guinee
Coach Carter;Samuel L. Jackson;Rob Brown;Robert Ri'chard;Rick Gonzalez;Channing Tatum;Texas Battle;Lacey Beeman;Octavia Spencer;Allison Kyler;Cindy Chiu
Changing Lanes;Ben Affleck;Samuel L. Jackson;Kim Staunton;Toni Collette;Sydney Pollack;Matt Malloy;William Hurt;John Benjamin Hickey;Amanda Peet;Michael Pitt
Anaconda;Jennifer Lopez;Ice Cube;Jon Voight;Eric Stoltz;Owen Wilson;Jonathan Hyde;Kari Wuhrer;Vincent Castellanos;Danny Trejo;Frank Welker
Coyote Ugly;Piper Perabo;Adam Garcia;John Goodman;Izabella Miko;Tyra Banks;Maria Bello;Bridget Moynahan;Greg Collins;Chip Chinery;Michael Bay
Love Actually;Keira Knightley;Heike Makatsch;Emma Thompson;Laura Linney;Hugh Grant;January Jones;Bill Nighy;Gregor Fisher;Colin Firth;Sienna Guillory
A Bug's Life;Kevin Spacey;Julia Louis-Dreyfus;Hayden Panettiere;Phyllis Diller;Bonnie Hunt;Joe Ranft;Jonathan Harris;Madeline Kahn;Richard Kind;Denis Leary
From Hell;Johnny Depp;Heather Graham;Ian Holm;Robbie Coltrane;Ian Richardson;Jason Flemyng;Katrin Cartlidge;Terence Harvey;Susan Lynch;Paul Rhys
The Specialist;Sylvester Stallone;Sharon Stone;James Woods;Rod Steiger;Eric Roberts;Chase Randolph;Jeana Bell;Brittany Paige Bouck;Emilio Estefan;LaGaylia Frazier
Tin Cup;Kevin Costner;Don Johnson;Cheech Marin;George Perez;Rene Russo;Linda Hart;Dennis Burkley;Rex Linn;Lou Myers;Richard Lineback
Kicking & Screaming;Will Ferrell;Robert Duvall;Kate Walsh;Musetta Vander;Josh Hutcherson;Steven Anthony Lawrence;Mike Ditka;Dylan McLaughlin;Jeremy Bergman;Elliott Cho
The Hitchhiker's Guide to the Galaxy;Martin Freeman;Zooey Deschanel;Sam Rockwell;Yasiin Bey;John Malkovich;Helen Mirren;Stephen Fry;Anna Chancellor;Bill Bailey;Dominique Jackson
Fat Albert;Kenan Thompson;Shedrack Anderson III;Jermaine Williams;Keith Robinson;Alphonso McAuley;Aaron Frazier;Marques Houston;Dania Ramirez;Omarion;Keri Lynn Pratt
Resident Evil: Extinction;Milla Jovovich;Oded Fehr;Ali Larter;Iain Glen;Mike Epps;Ashanti;Spencer Locke;Matthew Marsden;Linden Ashby;Jason O'Mara
Blended;Drew Barrymore;Adam Sandler;Wendi McLendon-Covey;Bella Thorne;Terry Crews;Joel McHale;Lauren Lapkus;Kevin Nealon;Alyvia Alyn Lind;Emma Fuhrmann
Last Holiday;Queen Latifah;LL Cool J;Timothy Hutton;Giancarlo Esposito;Alicia Witt;Jane Adams;;;;
The River Wild;Meryl Streep;David Strathairn;Kevin Bacon;Benjamin Bratt;John C. Reilly;Joseph Mazzello;Stephanie Sawyer;William Lucking;Elizabeth Hoffman;Victor Galloway
The Indian in the Cupboard;Hal Scardino;Litefoot;Lindsay Crouse;Richard Jenkins;Rishi Bhat;Steve Coogan;David Keith;Sakina Jaffrey;Vincent Kartheiser;Nestor Serrano
Savages;Blake Lively;Taylor Kitsch;Aaron Taylor-Johnson;Benicio del Toro;Salma Hayek;John Travolta;Emile Hirsch;Antonio Jaramillo;Ali Wong;Trevor Donovan
Cellular;Chris Evans;Kim Basinger;Jason Statham;Jessica Biel;William H. Macy;Will Beinbrink;Valerie Cruz;Brenda Ballard;Caroline Aaron;Chase Bloch
Johnny English;Rowan Atkinson;John Malkovich;Natalie Imbruglia;Tasha de Vasconcelos;Ben Miller;Greg Wise;Douglas McFerran;Steve Nicolson;Terence Harvey;Kevin McNally
The Ant Bully;Julia Roberts;Meryl Streep;Nicolas Cage;Paul Giamatti;Bruce Campbell;Regina King;Lily Tomlin;Larry Miller;Cheri Oteri;Zach Tyler
Dune;;;;;;;;;;
Across the Universe;Evan Rachel Wood;Jim Sturgess;Joe Anderson;Dana Fuchs;Martin Luther;T.V. Carpio;Spencer Liff;Lisa Hogg;Nicholas Lumley;Michael Ryan
Revolutionary Road;Leonardo DiCaprio;Kate Winslet;Michael Shannon;Kathryn Hahn;David Harbour;Kathy Bates;Ty Simpkins;Ryan Simpkins;Richard Easton;Dylan Baker
16 Blocks;Bruce Willis;Yasiin Bey;David Morse;Jenna Stern;David Zayas;Casey Sander;Cylk Cozart;Robert Racki;Patrick Garrow;Sasha Roiz
Babylon A.D.;Vin Diesel;Michelle Yeoh;Lambert Wilson;Charlotte Rampling;Mark Strong;Joel Kirby;Souleymane Dicko;Radek Bruna;David Belle;Jan Unger
The Glimmer Man;Steven Seagal;Keenen Ivory Wayans;Bob Gunton;Brian Cox;Michelle Johnson;Johnny Strong;John M. Jackson;Stephen Tobolowsky;Ryan Cutrona;Richard Gant
Multiplicity;Michael Keaton;Andie MacDowell;Harris Yulin;Eugene Levy;Zack Duhame;Katie Schlossberg;Richard Masur;Ann Cusack;John de Lancie;Judith Kahan
Aliens in the Attic;Carter Jenkins;Austin Butler;Kevin Nealon;Robert Hoffman;Doris Roberts;Tim Meadows;Ashley Boettcher;Henri Young;Regan Young;Ashley Tisdale
The Pledge;Jack Nicholson;Aaron Eckhart;Helen Mirren;Robin Wright;Vanessa Redgrave;Sam Shepard;Benicio del Toro;Mickey Rourke;Harry Dean Stanton;Patricia Clarkson
The Producers;Matthew Broderick;Uma Thurman;Will Ferrell;Eileen Essell;Gary Beach;Michael McKean;David Huddleston;Debra Monk;Andrea Martin;Jon Lovitz
The Phantom;Billy Zane;Kristy Swanson;Treat Williams;Catherine Zeta-Jones;James Remar;Cary-Hiroyuki Tagawa;Bill Smitrovich;Casey Siemaszko;David Proval;Joseph Ragno
All the Pretty Horses;Matt Damon;Henry Thomas;Sam Shepard;Robert Patrick;Lucas Black;Jesse Plemons;;;;
Nixon;Anthony Hopkins;Joan Allen;Powers Boothe;Ed Harris;Bob Hoskins;E.G. Marshall;David Paymer;David Hyde Pierce;Paul Sorvino;Mary Steenburgen
The Ghost Writer;Ewan McGregor;Pierce Brosnan;Jon Bernthal;Kim Cattrall;Tom Wilkinson;Olivia Williams;Timothy Hutton;Jim Belushi;Nyasha Hatendi;Tim Preece
Deep Rising;Treat Williams;Famke Janssen;Anthony Heald;Kevin J. O'Connor;Una Damon;Wes Studi;Derrick O'Connor;Jason Flemyng;Cliff Curtis;Clifton Powell
Miracle at St. Anna;Derek Luke;Michael Ealy;Laz Alonso;John Turturro;Valentina Cervi;Joseph Gordon-Levitt;John Leguizamo;Kerry Washington;D. B. Sweeney;Omar Benson Miller
Curse of the Golden Flower;Chow Yun-fat;Gong Li;Jay Chou;Liu Ye;Qin Jun-Jie;Li Man;Ni Dahong;Chen Jin;;
Bangkok Dangerous;Nicolas Cage;Shahkrit Yamnarm;Charlie Yeung;Panward Hemmanee;Nirattisai Kaljaruek;Dom Hetrakul;Tuck Napaskorn;Steve Baldocchi;Chris Heebink;James With
Big Trouble;Tim Allen;Rene Russo;Patrick Warburton;Ben Foster;Zooey Deschanel;Stanley Tucci;Tom Sizemore;Johnny Knoxville;Dennis Farina;Jack Kehler
Love in the Time of Cholera;Javier Bardem;Unax Ugalde;Benjamin Bratt;Catalina Sandino Moreno;Liev Schreiber;Fernanda Montenegro;Laura Harring;John Leguizamo;Alicia Borrachero;Marcela Mar
Shadow Conspiracy;Charlie Sheen;Donald Sutherland;Linda Hamilton;Stephen Lang;Nicholas Turturro;Stanley Anderson;Theodore Bikel;Charles Cioffi;Paul Gleason;Terry O'Quinn
Johnny English Reborn;Rowan Atkinson;Dominic West;Gillian Anderson;Rosamund Pike;Daniel Kaluuya;Tim McInnerny;Stephen Campbell Moore;Mariella Frostrup;Richard Schiff;Rupert Vansittart
Argo;Ben Affleck;Bryan Cranston;Alan Arkin;John Goodman;Victor Garber;Tate Donovan;Clea DuVall;Scoot McNairy;Rory Cochrane;Christopher Denham
The Fugitive;Harrison Ford;Tommy Lee Jones;Sela Ward;Julianne Moore;Joe Pantoliano;Andreas Katsulas;Daniel Roebuck;L. Scott Caldwell;Ron Dean;Joseph F. Kosala
The Bounty Hunter;Gerard Butler;Jennifer Aniston;Gio Perez;Siobhan Fallon;Joel Garland;Jason Kolotouros;Matt Malloy;Jason Sudeikis;Adam Rose;Christine Baranski
Sleepers;Robert De Niro;Brad Pitt;Kevin Bacon;Jason Patric;Ron Eldard;Billy Crudup;Dustin Hoffman;Minnie Driver;Vittorio Gassman;Joe Perrino
Rambo: First Blood Part II;Sylvester Stallone;Richard Crenna;Charles Napier;Steven Berkoff;Julia Nickson;George Cheung;Andy Wood;William Ghent;Voyo Goric;Dana Lee
The Juror;Demi Moore;Alec Baldwin;Joseph Gordon-Levitt;Anne Heche;James Gandolfini;Lindsay Crouse;Tony Lo Bianco;Michael Constantine;Matt Craven;Todd Susman
Pinocchio;;;;;;;;;;
Heaven's Gate;Kris Kristofferson;Christopher Walken;John Hurt;Isabelle Huppert;Sam Waterston;Brad Dourif;Jeff Bridges;Joseph Cotten;Ronnie Hawkins;Paul Koslo
Underworld: Evolution;Kate Beckinsale;Scott Speedman;Tony Curran;Shane Brolly;Derek Jacobi;Bill Nighy;Steven Mackintosh;Brian Steele;Scott McElroy;John Mann
Victor Frankenstein;James McAvoy;Daniel Radcliffe;Jessica Brown Findlay;Andrew Scott;Charles Dance;Louise Brealey;Mark Gatiss;Freddie Fox;Callum Turner;Daniel Mays
Finding Forrester;Sean Connery;Rob Brown;F. Murray Abraham;Anna Paquin;Busta Rhymes;April Grace;Michael Pitt;Michael Nouri;Matt Damon;Richard Easton
28 Days;Sandra Bullock;Viggo Mortensen;Dominic West;Elizabeth Perkins;Alan Tudyk;Steve Buscemi;Reni Santoni;Marianne Jean-Baptiste;Mike O'Malley;Azura Skye
Unleashed;Jet Li;Morgan Freeman;Bob Hoskins;Vincent Regan;Dylan Brown;Tamer Hassan;Phyllida Law;Michael Jenn;Carole Ann Wilson;Kerry Condon
The Sweetest Thing;Cameron Diaz;Christina Applegate;Thomas Jane;Selma Blair;Jason Bateman;Parker Posey;Frank Grillo;Eddie McClintock;James Mangold;Georgia Engel
The Firm;Tom Cruise;Jeanne Tripplehorn;Gene Hackman;Holly Hunter;Ed Harris;Hal Holbrook;Jerry Hardin;David Strathairn;Terry Kinney;Wilford Brimley
Charlie St. Cloud;Zac Efron;Amanda Crew;Charlie Tahan;Augustus Prew;Donal Logue;Kim Basinger;Ray Liotta;Dave Franco;Tegan Moss;Julia Maxwell
The Mechanic;Jason Statham;Ben Foster;Donald Sutherland;Mini Anden;Tony Goldwyn;Christa Campbell;Katarzyna Wolejnio;Jeff Chase;Eddie J. Fernandez;John McConnell
21 Jump Street;Channing Tatum;Jonah Hill;Brie Larson;Dave Franco;Ellie Kemper;Ice Cube;Nick Offerman;Rob Riggle;Jake Johnson;Holly Robinson Peete
Notting Hill;Julia Roberts;Hugh Grant;Gina McKee;Tim McInnerny;Rhys Ifans;Emma Chambers;Hugh Bonneville;Richard McCabe;James Dreyfus;Dylan Moran
Chicken Run;Mel Gibson;Miranda Richardson;Timothy Spall;Imelda Staunton;Jane Horrocks;Phil Daniels;Lynn Ferguson;Tony Haygarth;Julia Sawalha;Benjamin Whitrow
Along Came Polly;Ben Stiller;Jennifer Aniston;Philip Seymour Hoffman;Debra Messing;Alec Baldwin;Hank Azaria;Bryan Brown;Michele Lee;Bob Dishy;Missi Pyle
Boomerang;Eddie Murphy;Robin Givens;Halle Berry;David Alan Grier;Grace Jones;Martin Lawrence;Geoffrey Holder;Eartha Kitt;Chris Rock;Tisha Campbell-Martin
The Heat;Sandra Bullock;Melissa McCarthy;Michael Rapaport;Taran Killam;Marlon Wayans;Andy Buckley;Bill Burr;Steve Bannos;Jane Curtin;Spoken Reasons
Cleopatra;Elizabeth Taylor;Richard Burton;Rex Harrison;Roddy McDowall;Martin Landau;Hume Cronyn;Andrew Keir;Kenneth Haigh;George Cole;Pamela Brown
Here Comes the Boom;Salma Hayek;Kevin James;Henry Winkler;Joe Rogan;Reggie Lee;Greg Germann;Bas Rutten;Charice;Nicholas R. Grava;Frank Coraci
High Crimes;Ashley Judd;Morgan Freeman;Jim Caviezel;Amanda Peet;Adam Scott;Bruce Davison;Tom Bower;Michael Gaston;Jude Ciccolella;Emilio Rivera
The Mirror Has Two Faces;Barbra Streisand;Jeff Bridges;Lauren Bacall;George Segal;Mimi Rogers;Pierce Brosnan;Brenda Vaccaro;Elle Mcpherson;;
The Mothman Prophecies;Richard Gere;Laura Linney;Will Patton;Bob Tracey;Debra Messing;Tom Stoviak;David Eigenberg;Bill Laing;Alan Bates;Ron Emanuel
Brüno;Sacha Baron Cohen;Richard Bey;Ron Paul;Gustaf Hammarsten;Josh Meyers;Chris Martin;Elton John;Slash;Bono;Harrison Ford
Licence to Kill;Timothy Dalton;Carey Lowell;Robert Davi;Talisa Soto;Anthony Zerbe;Frank McRae;David Hedison;Wayne Newton;Benicio del Toro;Anthony Starke
Red Riding Hood;Amanda Seyfried;Gary Oldman;Billy Burke;Shiloh Fernandez;Max Irons;Julie Christie;Lukas Haas;Virginia Madsen;Shauna Kain;Michael Hogan
15 Minutes;Robert De Niro;Charlize Theron;Edward Burns;Kelsey Grammer;Avery Brooks;Vera Farmiga;Kim Cattrall;David Alan Grier;Roseanne Barr;Anton Yelchin
Super Mario Bros.;Bob Hoskins;John Leguizamo;Dennis Hopper;Samantha Mathis;Fisher Stevens;Richard Edson;Fiona Shaw;Mojo Nixon;Lance Henriksen;Dan Castellaneta
Lord of War;Nicolas Cage;Bridget Moynahan;Jared Leto;Ethan Hawke;Eamonn Walker;Ian Holm;Sammi Rotibi;Yevgeni Lazarev;Tanit Phoenix;Shake Tukhmanyan
Hero;Jet Li;Tony Leung Chiu-Wai;Maggie Cheung;Donnie Yen;Zhang Ziyi;Chen Dao-Ming;Liu Zhong Yuan;Zheng Tia Yong;Yan Qin;Chang Xiao Yang
One for the Money;Katherine Heigl;Jason O'Mara;Daniel Sunjata;John Leguizamo;Sherri Shepherd;Debbie Reynolds;Patrick Fischler;Harry O'Toole;Debra Monk;Nate Mooney
The Interview;James Franco;Seth Rogen;Lizzy Caplan;Randall Park;Diana Bang;Timothy Simons;Reese Alexander;James Yi;Paul Bae;Geoff Gustafson
The Warrior's Way;Kate Bosworth;Jang Dong-gun;Geoffrey Rush;Danny Huston;Ti Lung;Tony Cox;Analin Rudd;Markus Hamilton;Rod Lousich;Matt Gillanders
Micmacs;Dany Boon;Dominique Pinon;Jean-Pierre Marielle;Julie Ferrier;Yolande Moreau;Omar Sy;Marie-Julie Baup;Philippe Girard;;
8 Mile;Eminem;Mekhi Phifer;Brittany Murphy;Kim Basinger;Michael Shannon;Taryn Manning;Anthony Mackie;De'Angelo Wilson;Evan Jones;Omar Benson Miller
A Knight's Tale;Heath Ledger;Rufus Sewell;Shannyn Sossamon;Paul Bettany;Laura Fraser;Mark Addy;Alan Tudyk;James Purefoy;Scott Handy;Christopher Cazenove
The Medallion;Jackie Chan;Lee Evans;Claire Forlani;Julian Sands;John Rhys-Davies;Anthony Wong;Christy Chung;Lau Siu-Ming;Nicholas Tse;Edison Chen
The Sixth Sense;Bruce Willis;Toni Collette;Olivia Williams;Haley Joel Osment;Donnie Wahlberg;Glenn Fitzgerald;Mischa Barton;Trevor Morgan;Bruce Norris;Angelica Page
Man on a Ledge;Sam Worthington;Elizabeth Banks;Jamie Bell;Ed Harris;Edward Burns;Kyra Sedgwick;Anthony Mackie;William Sadler;Afton Williamson;J. Smith-Cameron
The Big Year;Owen Wilson;Steve Martin;Jack Black;Rashida Jones;Jim Parsons;Anjelica Huston;Tim Blake Nelson;Kevin Pollak;Rosamund Pike;Joel McHale
The Karate Kid;Ralph Macchio;Pat Morita;William Zabka;Martin Kove;Chad McQueen;Randee Heller;Elisabeth Shue;Ron Thomas;Rob Garrison;Scott Strader
American Hustle;Christian Bale;Bradley Cooper;Amy Adams;Jeremy Renner;Jennifer Lawrence;Louis C.K.;Jack Huston;Shea Whigham;Alessandro Nivola;Paul Herman
The Proposal;Sandra Bullock;Ryan Reynolds;Mary Steenburgen;Craig T. Nelson;Betty White;Denis O'Hare;Oscar Nunez;Aasif Mandvi;Michael Nouri;Michael Mosley
Double Jeopardy;Tommy Lee Jones;Ashley Judd;Bruce Greenwood;Annabeth Gish;Benjamin Weir;Jay Brazeau;John Maclaren;Tracy Vilar;;
Back to the Future Part II;Michael J. Fox;Christopher Lloyd;Lea Thompson;Elisabeth Shue;James Tolkan;Jeffrey Weissman;Casey Siemaszko;Billy Zane;Darlene Vogel;Elijah Wood
Lucy;Scarlett Johansson;Morgan Freeman;Choi Min-sik;Amr Waked;Julian Rhind-Tutt;Analeigh Tipton;Nicolas Phongpheth;Jan Oliver Schroeder;Luca Angeletti;Pierre Poirot
Fifty Shades of Grey;Dakota Johnson;Jamie Dornan;Jennifer Ehle;Eloise Mumford;Victor Rasuk;Luke Grimes;Marcia Gay Harden;Rita Ora;Max Martini;Callum Keith Rennie
Spy Kids 3-D: Game Over;Antonio Banderas;Carla Gugino;Alexa PenaVega;Daryl Sabara;Sylvester Stallone;Salma Hayek;Ricardo Montalban;Holland Taylor;Mike Judge;Matt O'Leary
A Time to Kill;Matthew McConaughey;Sandra Bullock;Samuel L. Jackson;Kevin Spacey;Oliver Platt;Charles S. Dutton;Brenda Fricker;Donald Sutherland;Kiefer Sutherland;Patrick McGoohan
Cheaper by the Dozen;Steve Martin;Bonnie Hunt;Piper Perabo;Tom Welling;Hilary Duff;Kevin G. Schmidt;Alyson Stoner;Jacob Smith;Liliana Mumy;Morgan York
Lone Survivor;Mark Wahlberg;Taylor Kitsch;Emile Hirsch;Ben Foster;Yousuf Azami;Ali Suliman;Eric Bana;Alexander Ludwig;Rich Ting;Dan Bilzerian
A League of Their Own;Tom Hanks;Geena Davis;Madonna;Lori Petty;Jon Lovitz;David Strathairn;Garry Marshall;Bill Pullman;Megan Cavanagh;Rosie O'Donnell
The Conjuring 2;Patrick Wilson;Vera Farmiga;Madison Wolfe;Frances O'Connor;Lauren Esposito;Benjamin Haigh;Patrick McAuley;Simon McBurney;Maria Doyle Kennedy;Simon Delaney
The Social Network;Jesse Eisenberg;Andrew Garfield;Justin Timberlake;Armie Hammer;Max Minghella;Rooney Mara;Brenda Song;Rashida Jones;John Getz;David Selby
He's Just Not That Into You;Ben Affleck;Jennifer Aniston;Drew Barrymore;Jennifer Connelly;Kevin Connolly;Bradley Cooper;Ginnifer Goodwin;Scarlett Johansson;Justin Long;Kris Kristofferson
Scary Movie 4;Anna Faris;Regina Hall;Craig Bierko;Bill Pullman;Anthony Anderson;Leslie Nielsen;Carmen Electra;Shaquille O'Neal;DeRay Davis;Michael Madsen
Scream 3;David Arquette;Neve Campbell;Courteney Cox;Patrick Dempsey;Scott Foley;Lance Henriksen;Matt Keeslar;Jenny McCarthy;Emily Mortimer;Parker Posey
Back to the Future Part III;Michael J. Fox;Christopher Lloyd;Mary Steenburgen;Thomas F. Wilson;Lea Thompson;Elisabeth Shue;James Tolkan;Matt Clark;Christopher Wynne;Sean Sullivan
Get Hard;Will Ferrell;Kevin Hart;Alison Brie;Craig T. Nelson;T.I.;Edwina Findley Dickerson;Erick Chavarria;Ariana Neal;Paul Ben-Victor;John Mayer
Julie & Julia;Meryl Streep;Amy Adams;Stanley Tucci;Chris Messina;Linda Emond;Helen Carey;Mary Lynn Rajskub;Jane Lynch;Joan Juliet Buck;Crystal Noelle
42;Chadwick Boseman;T.R. Knight;Harrison Ford;Nicole Beharie;Christopher Meloni;John C. McGinley;Ryan Merriman;Jud Tylor;Brett Cullen;Brad Beyer
The Talented Mr. Ripley;Matt Damon;Gwyneth Paltrow;Jude Law;Cate Blanchett;Philip Seymour Hoffman;Jack Davenport;James Rebhorn;Sergio Rubini;Philip Baker Hall;Celia Weston
Dumb and Dumber To;Jim Carrey;Jeff Daniels;Rachel Melvin;Kathleen Turner;Brady Bluhm;Laurie Holden;Steve Tom;Rob Riggle;Don Lake;Patricia French
Eight Below;Paul Walker;Bruce Greenwood;Moon Bloodgood;Jason Biggs;Gerard Plunkett;August Schellenberg;Wendy Crewson;;;
The Intern;Robert De Niro;Anne Hathaway;Rene Russo;Anders Holm;JoJo Kushner;Andrew Rannells;Adam Devine;Zack Pearlman;Jason Orley;Christina Scherer
Ride Along 2;Kevin Hart;Ice Cube;Olivia Munn;Tika Sumpter;Ken Jeong;Tyrese Gibson;Nadine Velazquez;Benjamin Bratt;Glen Powell;Sherri Shepherd
The Last of the Mohicans;Daniel Day-Lewis;Madeleine Stowe;Russell Means;Eric Schweig;Jodhi May;Steven Waddington;Wes Studi;Maurice Roeves;Edward Blatchford;Terry Kinney
Ray;Jamie Foxx;Kerry Washington;Regina King;Harry Lennix;Clifton Powell;Bokeem Woodbine;Sharon Warren;C.J. Sanders;Curtis Armstrong;Richard Schiff
Sin City;Jessica Alba;Devon Aoki;Clive Owen;Rosario Dawson;Mickey Rourke;Bruce Willis;Benicio del Toro;Michael Clarke Duncan;Alexis Bledel;Carla Gugino
Vantage Point;Dennis Quaid;Matthew Fox;Forest Whitaker;Sigourney Weaver;William Hurt;Ayelet Zurer;Eduardo Noriega;Zoe Saldana;James Le Gros;Bruce McGill
I Love You, Man;Paul Rudd;Jason Segel;Rashida Jones;Andy Samberg;J.K. Simmons;Jane Curtin;Jon Favreau;Jaime Pressly;Rob Huebel;Thomas Lennon
